Date,SPY,QQQ,DIA
2020-01-02,321.5557861328125,215.32589721679688,284.4449462890625
2020-01-03,319.12091064453125,213.353515625,282.17816162109375
2020-01-06,320.33837890625,214.7281951904297,282.8287048339844
2020-01-07,319.4376525878906,214.69830322265625,281.6065979003906
2020-01-08,321.1401062011719,216.3120574951172,283.2425231933594
2020-01-09,323.317626953125,218.1449737548828,285.3713073730469
2020-01-10,322.38720703125,217.5871124267578,284.0704345703125
2020-01-13,324.6044006347656,220.09739685058597,284.839111328125
2020-01-14,324.1094970703125,219.2307586669922,285.03619384765625
2020-01-15,324.8419189453125,219.3204040527344,286.14990234375
2020-01-16,327.5440979003906,221.42225646972656,288.6925964355469
2020-01-17,328.5635986328125,222.5180206298828,289.16387939453125
2020-01-21,327.92022705078125,222.4184112548828,287.7440185546875
2020-01-22,327.9598083496094,223.0061187744141,287.72430419921875
2020-01-23,328.3359375,223.72335815429688,287.4580993652344
2020-01-24,325.416015625,221.8406524658203,285.742431640625
2020-01-27,320.1997985839844,217.25840759277344,281.36459350585943
2020-01-28,323.5552062988281,220.5954742431641,283.2676086425781
2020-01-29,323.2879333496094,220.95407104492188,283.2676086425781
2020-01-30,324.3371276855469,221.7410430908203,284.5000915527344
2020-01-31,318.4478454589844,218.22467041015625,278.4658203125
2020-02-03,320.8134460449219,221.5218811035156,280.00393676757807
2020-02-04,325.70306396484375,226.5922393798828,284.0071105957031
2020-02-05,329.46429443359375,227.33935546875,288.7596130371094
2020-02-06,330.5728759765625,229.3017425537109,289.6273193359375
2020-02-07,328.81103515625,228.3155517578125,287.1130065917969
2020-02-10,331.2657165527344,231.0748748779297,288.848388671875
2020-02-11,331.8398132324219,231.1147003173828,288.8385009765625
2020-02-12,333.977783203125,233.36599731445312,291.5796203613281
2020-02-13,333.6214294433594,233.0671539306641,290.6921691894531
2020-02-14,334.15594482421875,233.7345733642578,290.4161071777344
2020-02-18,333.2947998046875,233.82421875,288.848388671875
2020-02-19,334.8883972167969,236.06553649902344,289.9822692871094
2020-02-20,333.5125732421875,233.8740234375,288.6807861328125
2020-02-21,330.0779724121094,229.3814392089844,286.46990966796875
2020-02-24,319.1308288574219,220.53570556640625,276.40487670898443
2020-02-25,309.46044921875,214.53890991210938,267.6448974609375
2020-02-26,308.32220458984375,215.64463806152344,266.6956787109375
2020-02-27,294.47491455078125,204.84646606445312,254.5938415527344
2020-02-28,293.2377014160156,205.005859375,251.68701171875
2020-03-02,305.936767578125,215.5848693847656,264.01629638671875
2020-03-03,297.17706298828125,208.67166137695312,256.37350463867193
2020-03-04,309.6683044433594,217.3779296875,267.83273315429693
2020-03-05,299.3744201660156,210.7735137939453,258.5091552734375
2020-03-06,294.4254150390625,207.21730041503903,255.9286193847656
2020-03-09,271.43243408203125,192.82305908203125,236.02577209472656
2020-03-10,285.4776916503906,203.3223876953125,247.6431884765625
2020-03-11,271.56106567382807,194.46669006347656,233.17828369140625
2020-03-12,245.57888793945312,176.63575744628906,209.7161102294922
2020-03-13,266.572509765625,191.5977935791016,229.4904022216797
2020-03-16,237.4031524658203,168.64671325683594,200.2046661376953
2020-03-17,250.22103881835938,181.4371490478516,211.06076049804688
2020-03-18,237.55162048339844,175.9185333251953,197.13966369628903
2020-03-19,238.056396484375,176.97445678710938,199.0379943847656
2020-03-20,227.7975616455078,170.0413055419922,190.30328369140625
2020-03-23,221.9731903076172,170.16409301757812,184.581298828125
2020-03-24,242.08468627929688,183.34117126464844,204.920654296875
2020-03-25,245.70872497558597,181.9835357666016,210.2955474853516
2020-03-26,260.0556030273437,191.56686401367188,223.1972961425781
2020-03-27,252.3096923828125,184.97833251953125,214.54986572265625
2020-03-30,260.50363159179693,191.7066192626953,221.2436981201172
2020-03-31,256.6207275390625,190.0694580078125,217.4058837890625
2020-04-01,245.071533203125,181.99351501464844,207.63784790039062
2020-04-02,250.7266540527344,185.6870880126953,212.17974853515625
2020-04-03,247.1026153564453,183.0516662597656,208.84771728515625
2020-04-06,263.69955444335943,196.138916015625,224.6451568603516
2020-04-07,263.9683837890625,196.05905151367188,224.71456909179688
2020-04-08,272.82937622070307,200.2218170166016,232.38026428222656
2020-04-09,276.98114013671875,200.5113067626953,235.1668701171875
2020-04-13,274.45223999023443,202.6775360107422,232.01333618164062
2020-04-14,282.546630859375,211.4922180175781,237.6857452392578
2020-04-15,276.54306030273443,209.06642150878903,233.1240081787109
2020-04-16,277.877197265625,212.8798065185547,233.38185119628903
2020-04-17,285.3841552734375,214.916259765625,240.5457305908203
2020-04-20,280.35626220703125,212.3706970214844,234.80072021484372
2020-04-21,271.84375,204.5343170166016,228.4306488037109
2020-04-22,277.877197265625,210.603759765625,232.94528198242188
2020-04-23,277.85723876953125,210.154541015625,233.24295043945312
2020-04-24,281.730224609375,213.4687805175781,235.9814910888672
2020-04-27,285.7923278808594,215.185791015625,239.4443664550781
2020-04-28,284.4781494140625,211.1328430175781,239.21615600585938
2020-04-29,291.92535400390625,218.61981201171875,244.53448486328125
2020-04-30,289.20733642578125,218.5299835205078,241.32960510253903
2020-05-01,281.551025390625,212.3706970214844,235.43576049804688
2020-05-04,282.3276062011719,214.8463897705078,235.57467651367188
2020-05-05,284.9361267089844,217.2821502685547,236.94395446777344
2020-05-06,283.0046081542969,218.61981201171875,235.0190277099609
2020-05-07,286.4195861816406,221.4349365234375,237.0531005859375
2020-05-08,291.1587219238281,224.4696502685547,241.7264862060547
2020-05-11,291.2184753417969,226.4761505126953,240.6747283935547
2020-05-12,285.4140319824219,221.7344055175781,236.2295379638672
