Date,High,Low,Open,Close,Volume,Adj Close
2020-06-30,6.099999904632568,5.900000095367432,5.980000019073486,6.079999923706055,61909300,6.079999923706055
2020-07-01,6.179999828338623,5.949999809265137,6.099999904632568,5.980000019073486,62454700,5.980000019073486
2020-07-02,6.170000076293945,6.0,6.099999904632568,6.050000190734863,67270500,6.050000190734863
2020-07-06,6.199999809265137,6.110000133514404,6.139999866485596,6.190000057220459,63921800,6.190000057220459
2020-07-07,6.199999809265137,6.090000152587891,6.139999866485596,6.119999885559082,56652000,6.119999885559082
2020-07-08,6.179999828338623,6.050000190734863,6.130000114440918,6.090000152587891,60928600,6.090000152587891
2020-07-09,6.099999904632568,5.820000171661377,6.090000152587891,5.840000152587891,82693000,5.840000152587891
2020-07-10,6.099999904632568,5.739999771118164,5.800000190734863,6.099999904632568,73710700,6.099999904632568
2020-07-13,6.21999979019165,6.050000190734863,6.150000095367432,6.059999942779541,80190700,6.059999942779541
2020-07-14,6.389999866485596,6.079999923706055,6.179999828338623,6.360000133514404,106131800,6.360000133514404
2020-07-15,6.78000020980835,6.519999980926514,6.539999961853027,6.739999771118164,101648700,6.739999771118164
2020-07-16,6.900000095367432,6.630000114440918,6.659999847412109,6.860000133514404,93498500,6.860000133514404
2020-07-17,6.909999847412109,6.730000019073486,6.900000095367432,6.800000190734863,80769000,6.800000190734863
2020-07-20,6.849999904632568,6.579999923706055,6.800000190734863,6.659999847412109,71361700,6.659999847412109
2020-07-21,6.809999942779541,6.639999866485596,6.710000038146973,6.679999828338623,63343900,6.679999828338623
2020-07-22,6.880000114440918,6.610000133514404,6.639999866485596,6.840000152587891,75629600,6.840000152587891
2020-07-23,7.059999942779541,6.800000190734863,6.869999885559082,6.980000019073486,88652600,6.980000019073486
2020-07-24,7.010000228881836,6.860000133514404,6.900000095367432,6.880000114440918,62292000,6.880000114440918
2020-07-27,6.940000057220459,6.769999980926514,6.920000076293945,6.929999828338623,60370200,6.929999828338623
2020-07-28,7.050000190734863,6.900000095367432,6.900000095367432,7.010000228881836,56312500,7.010000228881836
2020-07-29,7.059999942779541,6.829999923706055,7.050000190734863,6.920000076293945,59437200,6.920000076293945
2020-07-30,6.829999923706055,6.670000076293945,6.739999771118164,6.739999771118164,58991000,6.739999771118164
